キャラクター名,アニメタイトル
サンダユウ・ミシマ,イナズマイレブン
ヒビキ提督,イナズマイレブン
バウゼン,イナズマイレブン
クラリオ・オーヴァン,イナズマイレブン
アロンソ・フィビアーノ,イナズマイレブン
オスカル・アギト,イナズマイレブン
フェデリコ・ダズロ,イナズマイレブン
グレゴリオ・ハバロ,イナズマイレブン
ダニエル・マドローネ,イナズマイレブン
ルーバーン・ボイク,イナズマイレブン
トランシー・コルネット,イナズマイレブン
ドネル・ゴッティ,イナズマイレブン
ルーサー・ファンダム,イナズマイレブン
ベルガモ・レグルト,イナズマイレブン
影山 東吾（かげやま とうご）,イナズマイレブン
安井（やすい）,イナズマイレブン
臼井（うすい）,イナズマイレブン
マクスター・ランド,イナズマイレブン
レビン・マードック,イナズマイレブン
亀崎河童（かめざき かっぱ）,イナズマイレブン
伏見 いなり（ふしみ いなり）,いなり、こんこん、恋いろは。
丹波橋 紅司（たんばばし こうじ）,いなり、こんこん、恋いろは。
三条 京子（さんじょう けいこ）,いなり、こんこん、恋いろは。
丸太町 ちか（まるたまち ちか）,いなり、こんこん、恋いろは。
墨染 朱美（すみぞめ あけみ）,いなり、こんこん、恋いろは。
伏見 燈日（ふしみ とうか）,いなり、こんこん、恋いろは。
橋本 創（はしもと はじめ）,いなり、こんこん、恋いろは。
出町 柳一（いでまち りゅういち）,いなり、こんこん、恋いろは。
桃山 南（ももやま みなみ）,いなり、こんこん、恋いろは。
宇迦之御魂神（うかのみたまのかみ）,いなり、こんこん、恋いろは。
コン,いなり、こんこん、恋いろは。
シシ,いなり、こんこん、恋いろは。
ロロ,いなり、こんこん、恋いろは。
天照大御神（あまてらすおおみかみ）,いなり、こんこん、恋いろは。
大年神（おおとしのかみ）,いなり、こんこん、恋いろは。
大宮能売神（おおみやのめのかみ）,いなり、こんこん、恋いろは。
神大市比売（かむおおいちひめ）,いなり、こんこん、恋いろは。
須佐能乎命（すさのおのみこと）,いなり、こんこん、恋いろは。
貧乏神（びんぼうがみ）,いなり、こんこん、恋いろは。
変化（へんげ）,いなり、こんこん、恋いろは。
伊奈里神社（いなりじんじゃ）,いなり、こんこん、恋いろは。
藤草中学校（ふじのくさちゅうがっこう）,いなり、こんこん、恋いろは。
高天原（たかまがはら）,いなり、こんこん、恋いろは。
川平 榧（かわひら かやの）,いぬかみっ!
はけ,いぬかみっ!
川平 宗太郎（かわひら そうたろう）,いぬかみっ!
川平 佐江（かわひら さえ）,いぬかみっ!
川平 元也（かわひら もとや）,いぬかみっ!
川平 慧海（かわひら えかい）,いぬかみっ!
仮名 史郎（かりな しろう）,いぬかみっ!
赤道斎（せきどうさい）,いぬかみっ!
ソクラテス（こけ子）,いぬかみっ!
大殺界（だいさっかい）,いぬかみっ!
クサンチッペ,いぬかみっ!
マロちん,いぬかみっ!
留吉（とめきち）,いぬかみっ!
タヌキ,いぬかみっ!
河童（かっぱ）,いぬかみっ!
最長老（さいちょうろう）,いぬかみっ!
大妖狐（だいようこ）,いぬかみっ!
邪星（じゃせい）,いぬかみっ!
ドクトル,いぬかみっ!
親方（おやかた）,いぬかみっ!
係長（かかりちょう）,いぬかみっ!
警官（けいかん）,いぬかみっ!
鎮霊局局長,いぬかみっ!
河原崎 直己（かわらざき なおき）,いぬかみっ!
新堂 ケイ（しんどう ケイ）,いぬかみっ!
セバスチャン,いぬかみっ!
白山名君（はくさんめいくん）,いぬかみっ!
太古の精霊たち,いぬかみっ!
砂漠の精霊,いぬかみっ!
大樹の精霊,いぬかみっ!
春の精霊,いぬかみっ!
古城の精霊,いぬかみっ!
こうけつ、かいえん、てと、ろっぽう,いぬかみっ!
代償を求める神々,いぬかみっ!
レネウス,いぬかみっ!
メギト,いぬかみっ!
エルフィネス,いぬかみっ!
栄沢 汚水（えいさわ おすい）,いぬかみっ!
和尚（おしょう）,いぬかみっ!
アンドレアノフ,いぬかみっ!
ステファニー,いぬかみっ!
クラリス,いぬかみっ!
ジジ,いぬかみっ!
ババ,いぬかみっ!
師匠（ししょう）,いぬかみっ!
大友幸子,いぬかみっ!
川平清明（かわひら せいめい）,いぬかみっ!
川平葛葉（かわひら くずは）,いぬかみっ!
東塔子（あずま とうこ）,いぬかみっ!
にいらみ,いぬかみっ!
くらは,いぬかみっ!
犬神 八千代（いぬがみ やちよ）,犬神さんと猫山さん
猫山 鈴（ねこやま すず）,犬神さんと猫山さん
柊木 秋（ひいらぎ あき）,犬神さんと猫山さん
杜松 美希音（ねず みきね）,犬神さんと猫山さん
牛若 雪路（うしわか ゆきじ）,犬神さんと猫山さん
猿飛 空（さるとび そら）,犬神さんと猫山さん
鳥飼 ひばり（とりかい ひばり）,犬神さんと猫山さん
兎川 モチ（うさかわ もち）,犬神さんと猫山さん
虎生 真梨（とらお まり）,犬神さんと猫山さん
龍崎 乙姫（りゅうざき おとめ）,犬神さんと猫山さん
蛇塚 佐和子（へびつか さわこ）,犬神さんと猫山さん
相馬 さくら（そうま さくら）,犬神さんと猫山さん
猪里 直（いのり なお）,犬神さんと猫山さん
羊谷 まきの（ひつじたに まきの）,犬神さんと猫山さん
猫山 珠喜（ねこやま たまき）,犬神さんと猫山さん
柊木 桐 / 柊木 楓,犬神さんと猫山さん
柚井冬子,犬神さんと猫山さん
春海 和人（はるみ かずひと）,犬とハサミは使いよう
夏野 霧姫（なつの きりひめ） / 秋山 忍（あきやま しのぶ）,犬とハサミは使いよう
本田 文夫（ほんだ ふみお）,犬とハサミは使いよう
本田 桜（ほんだ さくら）,犬とハサミは使いよう
本田 弥生（ほんだ やよい）,犬とハサミは使いよう
犬飼 潔（いぬかい きよし）,犬とハサミは使いよう
春海 円香（はるみ まどか）,犬とハサミは使いよう
柊 鈴菜（ひいらぎ すずな）,犬とハサミは使いよう
宗像 腕力（むなかた わんりき）,犬とハサミは使いよう
中原 冬至（なかはら とうじ）,犬とハサミは使いよう
大澤 愁山（おおさわ しゅうざん）,犬とハサミは使いよう
大澤 映見（おおさわ はみ）,犬とハサミは使いよう
秋月 マキシ（あきづき マキシ） / 山田 マキ子（やまだ マキコ）,犬とハサミは使いよう
仏坂 大門（ほとけざか だいもん）,犬とハサミは使いよう
姫萩 紅葉（ひめはぎ もみじ）,犬とハサミは使いよう
姫萩 九郎（ひめはぎ くろう）,犬とハサミは使いよう
森部 佐茅（もりべ さち）,犬とハサミは使いよう
陸奥田 奈央（むつた なお）,犬とハサミは使いよう
空戸 アリシア（そらと アリシア）,犬とハサミは使いよう
山田 雛子（やまだ ひなこ）,犬とハサミは使いよう
住谷 夕樹（すみや ゆき）,犬とハサミは使いよう
柊 菜沙（ひいらぎ なずな）,犬とハサミは使いよう
水無川 真秀（みながわ まほ）,犬とハサミは使いよう
汐待 佑斗（しおまち ゆうと）,犬とハサミは使いよう
早崎 ステラ（はやさき ステラ）,犬とハサミは使いよう
穂積 雷火（ほづみ らいか）,犬とハサミは使いよう
白鬼院凜々蝶（しらきいん りりちよ）,妖狐×僕SS
御狐神双熾（みけつかみ そうし）,妖狐×僕SS
反ノ塚連勝（そりのづか れんしょう）,妖狐×僕SS
雪小路野ばら（ゆきのこうじ のばら）,妖狐×僕SS
青鬼院蜻蛉（しょうきいん かげろう）,妖狐×僕SS
髏々宮カルタ（ろろみや カルタ）,妖狐×僕SS
渡狸卍里（わたぬき ばんり）,妖狐×僕SS
夏目残夏（なつめ ざんげ）,妖狐×僕SS
小人村ちの（ことむら ちの）,妖狐×僕SS
蛙江（かわずえ）,妖狐×僕SS
河住丈太郎（かわすみ じょうたろう）,妖狐×僕SS
河住小太郎（かわすみ こたろう）,妖狐×僕SS
童辺あゆむ（わらしべ あゆむ）,妖狐×僕SS
幸蛇優二朗（こうだ ゆうじろう）,妖狐×僕SS
猫月誉（ねこづき ほまれ）,妖狐×僕SS
武蔵野（むさしの）,妖狐×僕SS
青鬼院菖蒲（しょうきいん あやめ）,妖狐×僕SS
悟ヶ原思紋（さとりがはら しもん）,妖狐×僕SS
鴉丸クロエ（からすま くろえ）,妖狐×僕SS
犬神命（いぬがみ みこと）,妖狐×僕SS
人魚崎海（じんなざき うみ）,妖狐×僕SS
河住花（かわすみ はな）,妖狐×僕SS
犬夜叉（いぬやしゃ）,犬夜叉
日暮かごめ（ひぐらし かごめ）,犬夜叉
弥勒（みろく）,犬夜叉
刀々斎（とうとうさい）,犬夜叉
阿波の八衛門狸（あわのはちえもんだぬき）,犬夜叉
夢心和尚（むしんおしょう）,犬夜叉
宝仙鬼（ほうせんき）,犬夜叉
妖霊大聖（ようれいたいせい）,犬夜叉
薬老毒仙（やくろうどくせん）,犬夜叉
桔梗（ききょう）,犬夜叉
死魂虫（しにだまちゅう）,犬夜叉
胡蝶（こちょう）/飛鳥（あすか）,犬夜叉
殺生丸（せっしょうまる）,犬夜叉
邪見（じゃけん）,犬夜叉
りん,犬夜叉
阿吽（あうん）,犬夜叉
鋼牙（こうが）,犬夜叉
銀太（ぎんた） / 白角（はっかく）,犬夜叉
菖蒲（あやめ）,犬夜叉
長老（ちょうろう）,犬夜叉
老狼,犬夜叉
妖狼族の先祖,犬夜叉
灰（かい）,犬夜叉
芯太（しんた）,犬夜叉
奈落（ならく）,犬夜叉
第一妖怪・神無（かんな）,犬夜叉
鏡の妖,犬夜叉
第二妖怪・神楽（かぐら）,犬夜叉
最猛勝（さいみょうしょう）,犬夜叉
第三妖怪・悟心鬼（ごしんき）,犬夜叉
第四妖怪・影郎丸（かげろうまる）/第五妖怪・獣郎丸（じゅうろうまる）,犬夜叉
巨大死魂虫（きょだいしにだまちゅう）,犬夜叉
無双（むそう）,犬夜叉
白心上人（はくしんしょうにん）,犬夜叉
第六妖怪・赤子（あかご）,犬夜叉
白童子（はくどうし）,犬夜叉
炎蹄（えんてい）,犬夜叉
魍魎丸（もうりょうまる）,犬夜叉
第七妖怪・夢幻の白夜（むげんのびゃくや）,犬夜叉
紅牛魔（べにぎゅうま）,犬夜叉
曲霊（まがつひ）,犬夜叉
蛮骨（ばんこつ）,犬夜叉
煉骨（れんこつ）,犬夜叉
蛇骨（じゃこつ）,犬夜叉
睡骨（すいこつ）,犬夜叉
銀骨（ぎんこつ）,犬夜叉
霧骨（むこつ）,犬夜叉
凶骨（きょうこつ）,犬夜叉
日暮草太（ひぐらし そうた）,犬夜叉
ママ,犬夜叉
じいちゃん,犬夜叉
北条（ほうじょう）,犬夜叉
由加（ゆか） / 絵理（えり） / あゆみ,犬夜叉
真由（まゆ）,犬夜叉
悟（さとる）,犬夜叉
真由と悟の母親,犬夜叉
琥珀（こはく）,犬夜叉
犬夜叉の父,犬夜叉
犬夜叉の母,犬夜叉
殺生丸の母,犬夜叉
弥萢（みやつ）,犬夜叉
裏陶（うらすえ）,犬夜叉
鬼蜘蛛（おにぐも）,犬夜叉
翠子（みどりこ）,犬夜叉
四魂の玉を生み出した合体妖怪,犬夜叉
龍骨精（りゅうこつせい）,犬夜叉
朴仙翁（ぼくせんおう）,犬夜叉
死神鬼（ししんき）,犬夜叉
冥道残月破（めいどうざんげつは）,犬夜叉
人見蔭刀（ひとみ かげわき）,犬夜叉
狼野干（ろうやかん）,犬夜叉
耳千里（みみせんり）,犬夜叉
阿毘姫（あびひめ）,犬夜叉
鉄鶏（てっけい）,犬夜叉
冥王獣（めいおうじゅう）,犬夜叉
二枯仙（にこせん）,犬夜叉
金禍（きんか） / 銀禍（ぎんか）,犬夜叉
溶命樹（ようめいじゅ）,犬夜叉
甘利信長（あまりのぶなが）,犬夜叉
露姫（つゆひめ）,犬夜叉
なずな,犬夜叉
紅達（こうたつ）,犬夜叉
太郎丸（たろうまる）,犬夜叉
小春（こはる）,犬夜叉
ユキの兄,犬夜叉
ユキ,犬夜叉
男児,犬夜叉
五月（さつき）,犬夜叉
椿（つばき）,犬夜叉
紅葉（もみじ） / 牡丹（ぼたん）,犬夜叉
祓い屋（はらいや）,犬夜叉
紫津（しず）,犬夜叉
侍大将（さむらいだいしょう）,犬夜叉
万願寺の神泉和尚（まんがんじのしんせんおしょう）,犬夜叉
北条秋時（ほうじょうあきとき）,犬夜叉
羅刹の勘助（らせつのかんすけ）,犬夜叉
武田蔵之介（たけだくらのすけ）,犬夜叉
篠助（しのすけ）,犬夜叉
若菜（わかな）,犬夜叉
月黄泉（つきよみ）,犬夜叉
シャコ,犬夜叉
雲涯（うんがい）,犬夜叉
刀秋（とうしゅう）,犬夜叉
瞳子（ひとみこ）,犬夜叉
志麻（しま）,犬夜叉
百足上臈（むかでじょうろう）,犬夜叉
屍舞烏（しぶがらす）,犬夜叉
逆髪の結羅（さかさがみのゆら）,犬夜叉
無女（むおんな）,犬夜叉
九十九の蝦蟇（つくものがま）,犬夜叉
肉づきの面（にくづきのめん）,犬夜叉
タタリモッケ,犬夜叉
蜘蛛頭（くもがしら）,犬夜叉
桃果人（とうかじん）,犬夜叉
ニセ水神,犬夜叉
水神さま,犬夜叉
大蟷螂（おおかまきり）,犬夜叉
壺使い（つぼつかい）,犬夜叉
極楽鳥（ごくらくちょう）,犬夜叉
灰刃坊（かいじんぼう）,犬夜叉
蛾天丸（がてんまる）,犬夜叉
蛾羅丸（がらまる）,犬夜叉
猿神（さるがみ）,犬夜叉
ケン / ゴン / ブン,犬夜叉
多宝塔の鬼（たほうとうのおに）,犬夜叉
大獄丸（たいごくまる）,犬夜叉
月夜丸（つくよまる）,犬夜叉
ブンザ,犬夜叉
巫女封じ（みこふうじ）,犬夜叉
甘太（かんた）,犬夜叉
一宝 / 二宝 / 三宝 / 四宝 / 五宝,犬夜叉
妖怪平薄平,犬夜叉
牛頭（ごず） / 馬頭（めず）,犬夜叉
厨子鼠（ずしねずみ）,犬夜叉
湖の主,犬夜叉
音獄鬼（おんごくき）,犬夜叉
岳山人（がくさんじん）,犬夜叉
御霊丸（ごりょうまる）,犬夜叉
ムジナ,犬夜叉
三つ首の狼,犬夜叉
竜人（りゅうじん）,犬夜叉
冥界の主（めいかいのぬし）,犬夜叉
花皇（かおう）,犬夜叉
根の首（ねのくび）,犬夜叉
地念児（じねんじ）,犬夜叉
紫織（しおり）,犬夜叉
牛王（ぎゅうおう） / 出雲（いずも）,犬夜叉
娑蘿姫（さらひめ）,犬夜叉
飛天（ひてん）,犬夜叉
満天（まんてん）,犬夜叉
蒼天（そうてん）,犬夜叉
紅竜（こうりゅう）,犬夜叉
お館様（おやかたさま）,犬夜叉
豹猫四天王,犬夜叉
冬嵐（とうらん）,犬夜叉
春嵐（しゅんらん）,犬夜叉
夏嵐（からん）,犬夜叉
秋嵐（しゅうらん）,犬夜叉
星黄泉（ほしよみ）,犬夜叉
朱雀（すざく）,犬夜叉
青龍（せいりゅう）,犬夜叉
玄武（げんぶ）,犬夜叉
白虎（びゃっこ）,犬夜叉
安藤 寿来（あんどう じゅらい）,異能バトルは日常系のなかで
神崎 灯代（かんざき ともよ）,異能バトルは日常系のなかで
櫛川 鳩子（くしかわ はとこ）,異能バトルは日常系のなかで
高梨 彩弓（たかなし さゆみ）,異能バトルは日常系のなかで
姫木 千冬（ひめき ちふゆ）,異能バトルは日常系のなかで
工藤 美玲（くどう みれい）,異能バトルは日常系のなかで
相模 静夢（さがみ しずむ）,異能バトルは日常系のなかで
里見 詩春（さとみ しはる）,異能バトルは日常系のなかで
桐生 一（きりゅう はじめ）,異能バトルは日常系のなかで
リーティア,異能バトルは日常系のなかで
斎藤 一十三（さいとう ひとみ）,異能バトルは日常系のなかで
芥川 柳（あくたがわ やなぎ）,異能バトルは日常系のなかで
奈津 愛希（なつ あき）,異能バトルは日常系のなかで
戸木 柊吾（とき しゅうご）,異能バトルは日常系のなかで
遊佐野 ファンタジア（ゆさの ふぁんたじあ）,異能バトルは日常系のなかで
田中 運命子（たなかうめこ）/システム,異能バトルは日常系のなかで
檜枝岐（ひのえまた）/双葉環（ふたばたまき）,異能バトルは日常系のなかで
九鬼 円（くき まどか）,異能バトルは日常系のなかで
高梨 舞矢（たかなし まいや）,異能バトルは日常系のなかで
安藤 真智（あんどう まち）,異能バトルは日常系のなかで
荻浦 直江（はぎうら なおえ）,異能バトルは日常系のなかで
葛城 丈（かつらぎ じょう）,イノセント・ヴィーナス
鶴沢 仁（つるさわ じん）,イノセント・ヴィーナス
登戸 沙那（のぶと さな）,イノセント・ヴィーナス
ごら,イノセント・ヴィーナス
司馬 虎二（しば とらじ）,イノセント・ヴィーナス
ゴンザ,イノセント・ヴィーナス
ヒジン,イノセント・ヴィーナス
マキシマス・ドレイク,イノセント・ヴィーナス
レニー・ヴィクロー,イノセント・ヴィーナス
スティーブ,イノセント・ヴィーナス
青狼（ちんらん）,イノセント・ヴィーナス
狂死郎（きょうしろう）,イノセント・ヴィーナス
リキ,イノセント・ヴィーナス
フェイザー,イノセント・ヴィーナス
登戸 孝一郎（のぶと こういちろう）,イノセント・ヴィーナス
千倉 周三（ちくら しゅうぞう）,イノセント・ヴィーナス
剣吾（けんご）,イノセント・ヴィーナス
金田（かねだ）,イノセント・ヴィーナス
半平 武市（なかひら ぶいち）,イノセント・ヴィーナス
桂（かつら）,イノセント・ヴィーナス
シュウ / 松谷 修造（まつたに しゅうぞう）,今、そこにいる僕
ララ・ルゥ,今、そこにいる僕
サラ / サラ・リングワルト,今、そこにいる僕
ナブカ,今、そこにいる僕
ブゥ,今、そこにいる僕
タブール,今、そこにいる僕
ハムド,今、そこにいる僕
アベリア,今、そこにいる僕
カザム,今、そこにいる僕
エランバ,今、そこにいる僕
スーン,今、そこにいる僕
シス,今、そこにいる僕
羽島 伊月（はしま いつき）,妹さえいればいい。
羽島 千尋（はしま ちひろ）,妹さえいればいい。
可児 那由多（かに なゆた）,妹さえいればいい。
白川 京（しらかわ みやこ）,妹さえいればいい。
不破 春斗（ふわ はると）,妹さえいればいい。
恵那 刹那（えな せつな）,妹さえいればいい。
大野 アシュリー（おおの アシュリー）,妹さえいればいい。
三国山 蚕（みくにやま かいこ）,妹さえいればいい。
土岐 健次郎（とき けんじろう）,妹さえいればいい。
神戸 聖（ごうど さとし）,妹さえいればいい。
山県 きらら（やまがた きらら）,妹さえいればいい。
相生 初（あいおい うい）,妹さえいればいい。
柳ヶ瀬 慎（やながせ まこと）,妹さえいればいい。
笠松 青葉（かさまつ あおば）,妹さえいればいい。
木曽 義弘（きそ よしひろ）,妹さえいればいい。
神坂 蒼真（みさか そうま）,妹さえいればいい。
加茂 正（かも ただし）,妹さえいればいい。
垂井 宗典（たるい むねのり）,妹さえいればいい。
大島 勤（おおしま つとむ）,妹さえいればいい。
ひるがの まさひこ,妹さえいればいい。
山田 駆（やまだ かける）,妹さえいればいい。
乗鞍 拓郎（のりくら たくろう）,妹さえいればいい。
朝倉 正樹（あさくら まさき）,妹さえいればいい。
ジーク・レッドフィールド,妹さえいればいい。
ヒルデ・レッドフィールド,妹さえいればいい。
神崎 信繁,妹さえいればいい。
神崎 夕奈,妹さえいればいい。
クロム,妹さえいればいい。
パンダ,妹さえいればいい。
海津 真騎那（かいづ まきな）,妹さえいればいい。
関ヶ原 幽（せきがはら かすか）,妹さえいればいい。
三田洞さん,妹さえいればいい。
三田洞彩音　,妹さえいればいい。
エンディングテーマ,妹さえいればいい。
皐月 駆（さつき かける）,11eyes
水奈瀬 ゆか（みなせ ゆか）,11eyes
草壁 美鈴（くさかべ みすず）,11eyes
橘 菊理（たちばな くくり）,11eyes
広原 雪子（ひろはら ゆきこ）,11eyes
田島 賢久（たじま たかひさ）,11eyes
アワリティア,11eyes
イラ,11eyes
インウィディア,11eyes
アケディア,11eyes
グラ,11eyes
スペルビア,11eyes
百野 栞（ももの しおり）,11eyes
ヴェラード,11eyes
リゼット・ヴェルトール,11eyes
奈月 香央里（なつき かおり）,11eyes
照屋 匡（てるや ただし）,11eyes
赤嶺 彩子（あかみね さいこ）,11eyes
田島 恵麻（たじま えま）,11eyes
黒田 隆弘（くろだ たかひろ）,11eyes
皐月 菊理（さつき くくり）,11eyes
草壁 遼一（くさかべ りょういち）,11eyes
草壁 操（くさかべ みさお）,11eyes
ミシェル・マキシミリアン,11eyes
広原 睦子,11eyes
天見 修（あまみ しゅう）,11eyes
紅野 澪（こうの みお）,11eyes
吾妻 汐音（あづま しおね）,11eyes
黒芝 かなえ（くろしば かなえ）,11eyes
ガラテイア,11eyes
穴倉のヨハンナ,11eyes
書架のウルスラ,11eyes
不朽のディオニシウス,11eyes
虹のゲオルギウス,11eyes
聖骨のセバスティアヌス,11eyes
龍骸のイレーネ,11eyes
書架のベネディクトゥス,11eyes
書架のスコラスティカ,11eyes
戦槌のサムソン,11eyes
リーゼロッテ・ヴェルクマイスター,11eyes
ヴァルター・ディートリヒ,11eyes
ソフィア・ミーズリー,11eyes
傳満州（フー・マンチュウ）,11eyes
コルヴァス・メルクリウス,11eyes
黒羊歯鼎(くろしだ かなえ),11eyes
アイナス・レーベンハイト,11eyes
黒い月,11eyes
闇精霊（ラルヴァ）,11eyes
小烏丸天国,11eyes
火車切広光,11eyes
立花道雪雷切 雷切,11eyes
鉋切長光,11eyes
真打・童子切安綱,11eyes
虚無の魔石（クリフォトのませき）,11eyes
虚無の魔石の欠片,11eyes
劫の眼（アイオンのめ）,11eyes
西方の福緑石（さいほうのユルール）,11eyes
翠玉碑の欠片（すいぎょくひのかけら）,11eyes
ヨハンナの神名碑,11eyes
ウヴァロバイト・トラペゾヘドロン,11eyes
王神（バロール）,11eyes
緑の十字架（みどりのオルトドクス）,11eyes
翠玉の石敢當（すいぎょくのいしがんとう）,11eyes
綾女ヶ丘市（あやめがおかし）,11eyes
新綾女ランドマークタワー（しんあやめランドマークタワー）,11eyes
月白 瞳美（つきしろ ひとみ）,色づく世界の明日から
月白 琥珀（つきしろ こはく）,色づく世界の明日から
葵 唯翔（あおい ゆいと）,色づく世界の明日から
風野 あさぎ（かざの あさぎ）,色づく世界の明日から
川合 胡桃（かわい くるみ）,色づく世界の明日から
山吹 将（やまぶき しょう）,色づく世界の明日から
深澤 千草（ふかざわ ちぐさ）,色づく世界の明日から
月白 瑠璃（つきしろ るり）,色づく世界の明日から
月白 柚葉（つきしろ ゆずは）,色づく世界の明日から
月白 弦（つきしろ げん）,色づく世界の明日から
葵 遙（あおい はるか）,色づく世界の明日から
風野 光瑛（かざの みつあき）,色づく世界の明日から
川合 苺花（かわい いちか）,色づく世界の明日から
朝川 砂波（あさかわ さなみ）,色づく世界の明日から
一柳 柊生（いちやなぎ しゅうせい）,色づく世界の明日から
魔法,色づく世界の明日から
まほう屋,色づく世界の明日から
星砂,色づく世界の明日から
